dataset,source_layer,source_files,output_path,generated_at
dim_periodo,data/processed,dim_periodo.csv,data\datawarehouse\v2\dimensions\dim_periodo.csv,2026-06-15T13:08:29
dim_trabajador,data/processed,dim_trabajador.csv;fact_dotacion.csv;fact_remuneraciones.csv,data\datawarehouse\v2\dimensions\dim_trabajador.csv,2026-06-15T13:08:29
dim_sociedad,data/processed,dim_sociedad.csv,data\datawarehouse\v2\dimensions\dim_sociedad.csv,2026-06-15T13:08:29
dim_centro_negocio,data/processed,dim_centro_negocio.csv,data\datawarehouse\v2\dimensions\dim_centro_negocio.csv,2026-06-15T13:08:29
dim_cargo,data/processed,fact_dotacion.csv;dim_contrato.csv,data\datawarehouse\v2\dimensions\dim_cargo.csv,2026-06-15T13:08:29
dim_contrato,data/processed,fact_dotacion.csv;dim_contrato.csv,data\datawarehouse\v2\dimensions\dim_contrato.csv,2026-06-15T13:08:29
dim_estado_laboral,data/processed,fact_dotacion.csv;dim_contrato.csv,data\datawarehouse\v2\dimensions\dim_estado_laboral.csv,2026-06-15T13:08:29
fact_remuneraciones_mensual,data/processed,fact_remuneraciones.csv,data\datawarehouse\v2\facts\fact_remuneraciones_mensual.csv,2026-06-15T13:08:29
fact_dotacion_mensual,data/processed,fact_dotacion.csv,data\datawarehouse\v2\facts\fact_dotacion_mensual.csv,2026-06-15T13:08:29
